time,cart_pos,pend_pos,cart_vel,pend_vel,force
0.000000000000000000e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.513418408306301866e-02,5.293040619525511345e-04,3.139359931168733464e+00,3.956855655257502519e-02,-1.663489458531043352e-01,1.893374654983862815e+00
5.026836816612603731e-02,2.189991232379648149e-03,3.132411228725693775e+00,8.929053904510160511e-02,-3.698459526661568852e-01,2.602023223722662149e+00
7.540255224918905597e-02,5.204154522695858716e-03,3.120017210111221573e+00,1.466723556644454751e-01,-5.943802507109537947e-01,3.255408919457875250e+00
1.005367363322520746e-01,9.728820284613930516e-03,3.101872234154151808e+00,2.090467026379130844e-01,-8.226221043871193572e-01,3.832828126137097779e+00
1.256709204153150794e-01,1.585186308735497471e-02,3.078118506003439059e+00,2.735953117258371758e-01,-1.036560664577018009e+00,4.313140340066460077e+00
1.508051044983780842e-01,2.358918182460624513e-02,3.049353205072593997e+00,3.374253705373419510e-01,-1.218318685279745406e+00,4.677128913897209195e+00
1.759392885814410890e-01,3.288447877470120767e-02,3.016611552054501377e+00,3.976976354415331927e-01,-1.351234495026500504e+00,4.909942386895560951e+00
2.010734726645040937e-01,4.361242817242545061e-02,2.981321514057037270e+00,4.517649401361382155e-01,-1.421000826302012632e+00,5.001981908255602072e+00
2.262076567475670985e-01,5.558517848093272318e-02,2.945230815975512950e+00,4.972943989138910448e-01,-1.416673905494971075e+00,4.949012824079709993e+00
2.513418408306301033e-01,6.856224568051923207e-02,2.910308762846968378e+00,5.324071568966729506e-01,-1.331595571244242437e+00,4.754432160190040335e+00
2.764760249136931081e-01,8.226341616996900308e-02,2.878629808120070965e+00,5.557765371650258412e-01,-1.163890126437694406e+00,4.429292408691328120e+00
3.016102089967561128e-01,9.638239437097492757e-02,2.852255285647458116e+00,5.665988946855903263e-01,-9.161585880688781769e-01,3.987989575095996386e+00
3.267443930798191176e-01,1.105981104970612527e-01,2.833132486847790954e+00,5.644512074988339290e-01,-5.945019477312036837e-01,3.443349071371851533e+00
3.518785771628821224e-01,1.245832859639837559e-01,2.823016661205274502e+00,5.492203383142229001e-01,-2.077449203098575281e-01,2.809167136955896815e+00
3.770127612459451272e-01,1.380091882615052112e-01,2.823421018929771709e+00,5.208883063777456357e-01,2.338960707168120656e-01,2.091895368801408139e+00
4.021469453290081320e-01,1.505473264795104127e-01,2.835589643384182068e+00,4.794965825038629004e-01,7.193008202158142073e-01,1.296681955596596714e+00
4.272811294120711367e-01,1.618705023529010412e-01,2.860479773288629790e+00,4.251298599793398858e-01,1.236694250086741054e+00,4.265469617660992419e-01
4.524153134951341415e-01,1.716555632566479361e-01,2.898739544967128712e+00,3.580551613378272768e-01,1.773092294750855613e+00,-5.116122192257709367e-01
4.775494975781971463e-01,1.795909209803532858e-01,2.950664198491441681e+00,2.789498379207687728e-01,2.313221057800043390e+00,-1.503012705523155912e+00
5.026836816612602066e-01,1.853911208135370359e-01,3.016117625673087499e+00,1.892159533302268659e-01,2.837983210416387791e+00,-2.519787465378926949e+00
5.278178657443232114e-01,1.888198074332907983e-01,3.094412914424184979e+00,9.130900716316506238e-02,3.322956253958956108e+00,-3.517071515545374005e+00
5.529520498273862161e-01,1.897202745821047476e-01,3.184161686924690482e+00,-1.101716844463469791e-02,3.737709634696608330e+00,-4.430814752868773354e+00
5.780862339104492209e-01,1.880468379153057701e-01,3.283139131262978516e+00,-1.128933843427532557e-01,4.047893045670703849e+00,-5.189196768993185493e+00
6.032204179935122257e-01,1.838855031943483764e-01,3.388243426706206041e+00,-2.089619578830376745e-01,4.220394892984812074e+00,-5.726504704467334506e+00
6.283546020765752305e-01,1.774533279862252344e-01,3.495621145818892384e+00,-2.943336396487357676e-01,4.230473837428822215e+00,-6.000000000000000000e+00
6.534887861596382352e-01,1.690733328111032330e-01,3.600970181182650887e+00,-3.654488519166344540e-01,4.067597777962216554e+00,-6.000000000000000000e+00
6.786229702427012400e-01,1.591126931740142192e-01,3.700019899191906880e+00,-4.219834056780339959e-01,3.742634273304358938e+00,-5.825959615828423921e+00
7.037571543257642448e-01,1.479369281817574655e-01,3.788903443923321124e+00,-4.640865997595121639e-01,3.274421803542923115e+00,-5.484445633684293497e+00
7.288913384088272496e-01,1.358817990522372954e-01,3.864376391179024761e+00,-4.935886306142031610e-01,2.690782314250335983e+00,-5.071027343119069108e+00
7.540255224918902544e-01,1.232319069332487860e-01,3.923919621861148954e+00,-5.125598167119932436e-01,2.020079209658890651e+00,-4.637790893554509353e+00
7.791597065749532591e-01,1.102237333079104792e-01,3.965693864312604511e+00,-5.227561164618208522e-01,1.287658599615133959e+00,-4.215651677130832553e+00
8.042938906580162639e-01,9.706173061950727765e-02,3.988428797072551379e+00,-5.250888637525165104e-01,5.138428002983993492e-01,-3.802203629337186364e+00
8.294280747410792687e-01,8.394271402862314713e-02,3.991290920039669121e+00,-5.194203958745474692e-01,-2.862387640237784026e-01,-3.370504615546916938e+00
8.545622588241422735e-01,7.108270457496727868e-02,3.973758470272686250e+00,-5.045312276228550719e-01,-1.102178723732445409e+00,-2.876025871832266656e+00
8.796964429072052782e-01,5.874358394461682426e-02,3.935508193798616272e+00,-4.781540815354400342e-01,-1.927875670878753223e+00,-2.261031092573410728e+00
9.048306269902682830e-01,4.725517190127317968e-02,3.876318459995678811e+00,-4.372935379665792155e-01,-2.760602132186965374e+00,-1.470683258164622309e+00
9.299648110733312878e-01,3.703014361262622206e-02,3.795991798844785770e+00,-3.784952408493121867e-01,-3.600206715996662865e+00,-4.520748571268278782e-01
9.550989951563942926e-01,2.856675777979959113e-02,3.694319476428452376e+00,-2.985478547458442211e-01,-4.446384611423202848e+00,8.248609994861668682e-01
9.802331792394572973e-01,2.242972220217411689e-02,3.571146590163106094e+00,-1.955283398923802762e-01,-5.293263340197637667e+00,2.352894530140116736e+00
1.005367363322520413e+00,1.919620276440729342e-02,3.426634272514382129e+00,-7.048321276778186928e-02,-6.119446192180392430e+00,4.059523179421331562e+00
1.030501547405583418e+00,1.936106435020481728e-02,3.261797802775530553e+00,7.116020797561452282e-02,-6.877606976547132156e+00,5.812375618895930351e+00
1.055635731488646423e+00,2.281617870085493952e-02,3.080933090892597370e+00,1.893014229073606280e-01,-7.365422382794044154e+00,6.000000000000000000e+00
1.080769915571709427e+00,2.887879187501730255e-02,2.891691845913370695e+00,2.784363304343613343e-01,-7.530802042614186398e+00,6.000000000000000000e+00
1.105904099654772432e+00,3.683446200826036299e-02,2.702327341995988785e+00,3.421667704130837984e-01,-7.385033990352807720e+00,6.000000000000000000e+00
1.131038283737835437e+00,4.611643612392426345e-02,2.520250974484805173e+00,3.879489606579120675e-01,-6.978134695323557679e+00,6.000000000000000000e+00
1.156172467820898442e+00,5.637603584739232787e-02,2.351277749523608573e+00,4.241436867282075696e-01,-6.374437687156836674e+00,6.000000000000000000e+00
1.181306651903961447e+00,6.746879291244309296e-02,2.199571258077076763e+00,4.574690676950309287e-01,-5.631744525604142737e+00,6.000000000000000000e+00
1.206440835987024451e+00,7.934445029360998047e-02,2.068102368193548646e+00,4.885911199054472909e-01,-4.785970059157018675e+00,5.817205085283714716e+00
1.231575020070087456e+00,9.183326213677929506e-02,1.959258025364719380e+00,5.079665976507590219e-01,-3.851009299477043069e+00,5.006776877524838909e+00
1.256709204153150461e+00,1.047518084888691692e-01,1.874626371164598071e+00,5.229644508261203084e-01,-2.870372994598031191e+00,4.507954592985027098e+00
1.281843388236213466e+00,1.180488327368688223e-01,1.814988558667524732e+00,5.373960777450752513e-01,-1.868509341176757932e+00,4.248109660763243589e+00
1.306977572319276470e+00,1.317430545466225789e-01,1.780665124481241035e+00,5.534329981904788642e-01,-8.598675666803315965e-01,4.199736403411155727e+00
1.332111756402339475e+00,1.458797704183552590e-01,1.771705907567320271e+00,5.713227711108752604e-01,1.469897026321846933e-01,4.287374017330245479e+00
1.357245940485402480e+00,1.604842204697740637e-01,1.787990493330380071e+00,5.894345231746892511e-01,1.146286480530160912e+00,4.414324094049939085e+00
1.382380124568465485e+00,1.755148219275882993e-01,1.829278224802964425e+00,6.042545741949676419e-01,2.133883309818584983e+00,4.465899461829478057e+00
1.407514308651528490e+00,1.908177058218697986e-01,1.895254564868373848e+00,6.105200529836091183e-01,3.107925601621089662e+00,4.318946797855772068e+00
1.432648492734591494e+00,2.060851323742947661e-01,1.985616412021638633e+00,6.014061472390869190e-01,4.071035024960758086e+00,3.846203204001669373e+00
1.457782676817654499e+00,2.208204124575931238e-01,2.100225143393994465e+00,5.688570773538130787e-01,5.033156435609440926e+00,2.926029397405447430e+00
1.482916860900717504e+00,2.343136124128895048e-01,2.239325907678205496e+00,5.041312481621659236e-01,6.013458727081596678e+00,1.455541238599636467e+00
1.508051044983780509e+00,2.456361955708197264e-01,2.403775223487135460e+00,3.988338459262946722e-01,7.038226919728272080e+00,-6.284411295921752405e-01
1.533185229066843513e+00,2.536747227489357659e-01,2.595108238621143038e+00,2.471380654607238658e-01,8.128796040327609163e+00,-3.310694933568040454e+00
1.558319413149906518e+00,2.573634863154304897e-01,2.814659537052350835e+00,5.917998717170264156e-02,9.236665493177945052e+00,-6.000000000000000000e+00
1.583453597232969523e+00,2.566914328762150976e-01,3.058908024196467235e+00,-9.328129206707579113e-02,1.002195523132193422e+01,-6.000000000000000000e+00
1.608587781316032528e+00,2.527082907273991430e-01,3.317975513834065637e+00,-1.996354347639772708e-01,1.036019672011970094e+01,-6.000000000000000000e+00
1.633721965399095533e+00,2.466415435732394745e-01,3.579612838722157075e+00,-2.609826995288742069e-01,1.022738572669282675e+01,-6.000000000000000000e+00
1.658856149482158537e+00,2.395199654501930508e-01,3.832462438897727974e+00,-2.915838903492854461e-01,9.714646870165756454e+00,-6.000000000000000000e+00
1.683990333565221542e+00,2.319008475086772603e-01,4.068477803868440823e+00,-3.096983561245494898e-01,8.952541844302949414e+00,-6.000000000000000000e+00
1.709124517648284547e+00,2.238913534192272237e-01,4.282900997574119017e+00,-3.291714426852307418e-01,8.043740192980697756e+00,-6.000000000000000000e+00
1.734258701731347552e+00,2.154823193440527362e-01,4.472791104058651435e+00,-3.456643687875465276e-01,7.034058972292814182e+00,-5.363348245874194120e+00
1.759392885814410556e+00,2.069567252527327594e-01,4.636169277234305497e+00,-3.411795576168974442e-01,5.962023367181343403e+00,-3.544910307934427962e+00
1.784527069897473561e+00,1.986484462012340357e-01,4.772429019019661212e+00,-3.282787099032153377e-01,4.887703699477706998e+00,-2.306126056572944005e+00
1.809661253980536566e+00,1.906357982622682301e-01,4.881903424171760264e+00,-3.161951195345475418e-01,3.834011157214511023e+00,-1.651472437508466617e+00
1.834795438063599571e+00,1.828087182534771649e-01,4.965166626154395857e+00,-3.115327099361650531e-01,2.801850354953262290e+00,-1.514945789501249918e+00
1.859929622146662576e+00,1.749231213752364955e-01,5.022653024912415276e+00,-3.187381834479564580e-01,1.781559596896941544e+00,-1.804012582970989431e+00
1.885063806229725580e+00,1.666468006996608409e-01,5.054501920097906442e+00,-3.405052019003830810e-01,7.605331633876410979e-01,-2.429942188152798721e+00
1.910197990312788585e+00,1.576043154093883236e-01,5.060558686997683964e+00,-3.776156487915748872e-01,-2.713268077263231159e-01,-3.293807882109457186e+00
1.935332174395851590e+00,1.474265109155419307e-01,5.040485848599980834e+00,-4.288084085387274258e-01,-1.318144578665038091e+00,-4.290842269486099703e+00
1.960466358478914595e+00,1.358065703911537359e-01,4.993941561363169690e+00,-4.904525289095642004e-01,-2.376181102624144614e+00,-5.296172334163656181e+00
1.985600542561977599e+00,1.226028369403916185e-01,4.920823021834451971e+00,-5.533657324124882093e-01,-3.431233748169494557e+00,-6.000000000000000000e+00
2.010734726645040826e+00,1.079913260387347917e-01,4.821452108741711484e+00,-6.019260636890009231e-01,-4.465909100015436728e+00,-6.000000000000000000e+00
2.035868910728103831e+00,9.234528776503102276e-02,4.696328507272697905e+00,-6.352908074548453410e-01,-5.480585963069005473e+00,-6.000000000000000000e+00
2.061003094811166836e+00,7.606452959583867579e-02,4.545964897892457834e+00,-6.524110713780771897e-01,-6.473066040610358840e+00,-5.957937406484165699e+00
2.086137278894229841e+00,5.995010459860923568e-02,4.370694401310495358e+00,-6.240762627541858176e-01,-7.466724099991319363e+00,-4.290489192746322900e+00
2.111271462977292845e+00,4.535921310275793650e-02,4.169753530268878627e+00,-5.344878908744722379e-01,-8.518733363802139635e+00,-1.552191900445812012e+00
2.136405647060355850e+00,3.404756130440688561e-02,3.940501099958100273e+00,-3.680949630760469993e-01,-9.714005228506112033e+00,2.341973775616798648e+00
2.161539831143418855e+00,2.777539869257727306e-02,3.678984260027486020e+00,-1.408866181228285996e-01,-1.104697598385638102e+01,6.000000000000000000e+00
2.186674015226481860e+00,2.690231045543822405e-02,3.385844093393515220e+00,5.067389165564738923e-02,-1.212180322858462311e+01,6.000000000000000000e+00
2.211808199309544865e+00,3.023584626238800047e-02,3.070540804948458824e+00,1.815974019863885736e-01,-1.268811260034938115e+01,6.000000000000000000e+00
2.236942383392607869e+00,3.600459535489994312e-02,2.748500819656294336e+00,2.422721790250270679e-01,-1.261888118112654489e+01,6.000000000000000000e+00
2.262076567475670874e+00,4.250991163698392139e-02,2.435721036330861899e+00,2.523900970266044763e-01,-1.203165778972850575e+01,6.000000000000000000e+00
2.287210751558733879e+00,4.883506489745612772e-02,2.142806582732687648e+00,2.440660214473815981e-01,-1.114897664504005093e+01,6.000000000000000000e+00
2.312344935641796884e+00,5.487916155020480802e-02,1.874665687051415119e+00,2.410886940375866760e-01,-1.013189703279943110e+01,6.000000000000000000e+00
