time,cart_pos,pend_pos,cart_vel,pend_vel,force
0.000000000000000000e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.001223188874636155e-02,-5.324713297892649799e-04,3.143838736252008381e+00,-3.286062770697454477e-02,1.376064428968878373e-01,-1.306301510796276100e+00
6.002446377749272310e-02,-2.178483481089718132e-03,3.150682108493462863e+00,-7.352668125085884410e-02,3.007212123416370120e-01,-1.799594113650564875e+00
9.003669566623909160e-02,-5.124827654779601400e-03,3.162597164868422794e+00,-1.190590865481187255e-01,4.705349638903674747e-01,-2.223167617925024597e+00
1.200489275549854462e-01,-9.468641951251589514e-03,3.179482321806971878e+00,-1.664361830763471384e-01,6.278824761861634407e-01,-2.557941399463021348e+00
1.500611594437318008e-01,-1.521654741868546171e-02,3.200666865447625131e+00,-2.126545362446324028e-01,7.543898797990804539e-01,-2.787833963342086996e+00
1.800733913324781554e-01,-2.228704440346696361e-02,3.224953335928200104e+00,-2.548443387421043815e-01,8.336735492045860285e-01,-2.900789425021774282e+00
2.100856232212245100e-01,-3.051666340845411718e-02,3.250696650381670771e+00,-2.904014749671774975e-01,8.525484776386219599e-01,-2.890037915575386585e+00
2.400978551099708647e-01,-3.966845679347437426e-02,3.275911136389679346e+00,-3.170168784935920026e-01,8.016671540989033229e-01,-2.750882041801326672e+00
2.701100869987172470e-01,-4.944605940598018751e-02,3.298413690145216570e+00,-3.329926092550003491e-01,6.771409959789121968e-01,-2.492627954288183290e+00
3.001223188874636016e-01,-5.950941162922318561e-02,3.315978413270487479e+00,-3.370741753049041334e-01,4.798257691038408934e-01,-2.121555082045274876e+00
3.301345507762099563e-01,-6.948953913338411226e-02,3.326482777139784019e+00,-3.285376196658565395e-01,2.154194835992092882e-01,-1.650494469461845304e+00
3.601467826649563109e-01,-7.900318161977230857e-02,3.328041664441647285e+00,-3.071102800503692221e-01,-1.063295224082840273e-01,-1.092740963865749926e+00
3.901590145537026655e-01,-8.766541085511909970e-02,3.319117424247274073e+00,-2.729187795746436107e-01,-4.723682543045248927e-01,-4.623941418911477474e-01
4.201712464424490201e-01,-9.510108431395346285e-02,3.298609228286979445e+00,-2.264638360231865932e-01,-8.669382773549527688e-01,2.254071228932222892e-01
4.501834783311953747e-01,-1.009568587776272508e-01,3.265931144288834798e+00,-1.686750054532102638e-01,-1.271759578598189888e+00,9.519766648005221210e-01
4.801957102199417293e-01,-1.049160026824391967e-01,3.221090828362833669e+00,-1.010312904209954288e-01,-1.665890319037425460e+00,1.692385229928578871e+00
5.102079421086881394e-01,-1.067176201318347090e-01,3.164775732841011546e+00,-2.572138692410196048e-02,-2.025495598299664746e+00,2.412838330123196595e+00
5.402201739974344941e-01,-1.061794188202096340e-01,3.098438005759804881e+00,5.428507217889785158e-02,-2.324273784602834958e+00,3.072135122924109840e+00
5.702324058861808487e-01,-1.032197483236183405e-01,3.024347747246994178e+00,1.353498592506199860e-01,-2.535151996398647967e+00,3.626685311662162459e+00
6.002446377749272033e-01,-9.787352340654985328e-02,2.945574780686683880e+00,2.134411095767533295e-01,-2.633195528893548243e+00,4.035815670582629799e+00
6.302568696636735579e-01,-9.029536190234088711e-02,2.865857739323577125e+00,2.846629723855066962e-01,-2.599773413858649906e+00,4.273155391934827740e+00
6.602691015524199125e-01,-8.074519279537020755e-02,2.789345074784254752e+00,3.458515236549835614e-01,-2.426425404517533302e+00,4.334582194980830749e+00
6.902813334411662671e-01,-6.955922196125158274e-02,2.720250421997759904e+00,3.949517641912798638e-01,-2.116490297549940447e+00,4.237220864368129725e+00
7.202935653299126217e-01,-5.711591283379666845e-02,2.662508454343540887e+00,4.310201752476850445e-01,-1.683731287652915354e+00,4.010516819076211270e+00
7.503057972186589764e-01,-4.380904178372006796e-02,2.619517964880624827e+00,4.538275938225851402e-01,-1.148536517979946714e+00,3.681204101264026640e+00
7.803180291074053310e-01,-3.003179608874943091e-02,2.593999834938246263e+00,4.635530192192967580e-01,-5.345119264515839630e-01,3.272584192753675403e+00
8.103302609961516856e-01,-1.617564415463072780e-02,2.587970741958884879e+00,4.601474736301040536e-01,1.354695537866581478e-01,2.785646034985130193e+00
8.403424928848980402e-01,-2.641408329238423020e-03,2.602797357542764090e+00,4.431150734788540380e-01,8.408354391721705179e-01,2.208963364728421919e+00
8.703547247736443948e-01,1.014563302628137750e-02,2.639278519216436525e+00,4.114362702231822988e-01,1.563768473136825099e+00,1.521062269143097723e+00
9.003669566623907494e-01,2.172391011537142674e-02,2.697713830842380034e+00,3.638232748975360753e-01,2.288050109704805823e+00,7.023823019321593364e-01
9.303791885511371040e-01,3.159626679734105215e-02,2.777912400683713479e+00,2.992686500884749190e-01,2.996406014811053176e+00,-2.520219187233874725e-01
9.603914204398834586e-01,3.925145585635215345e-02,2.879095142694302556e+00,2.178476331970797264e-01,3.666352401611963963e+00,-1.319392581120666597e+00
9.904036523286298133e-01,4.421295057312045473e-02,2.999648953626767423e+00,1.216837638233951302e-01,4.265074946847625448e+00,-2.436831093650119850e+00
1.020415884217376279e+00,4.611452355421188226e-02,3.136738085194479275e+00,1.570281879622074592e-02,4.746006576187887127e+00,-3.498385082184885864e+00
1.050428116106122634e+00,4.478698488209546802e-02,3.285896224139777999e+00,-9.240395705851735253e-02,5.051788384402879473e+00,-4.369253810523582082e+00
1.080440347994868988e+00,4.031976535499085662e-02,3.440882910988513732e+00,-1.936677092552826773e-01,5.127988604268160167e+00,-4.928629403025752254e+00
1.110452579883615343e+00,3.305683016398589663e-02,3.594101714130434999e+00,-2.803576182203987854e-01,4.943075037077999667e+00,-5.118977473043441861e+00
1.140464811772361697e+00,2.351390259353059939e-02,3.737590191943669371e+00,-3.483617845023069259e-01,4.502443646809751066e+00,-4.982417174556779571e+00
1.170477043661108052e+00,1.225668195082598756e-02,3.864148242358824703e+00,-3.975838894969621062e-01,3.844337083845319469e+00,-4.631154503209760520e+00
1.200489275549854407e+00,-2.038280913685839506e-04,3.968095824352023460e+00,-4.309364317039034997e-01,3.024087901628986774e+00,-4.204850150683784094e+00
1.230501507438600761e+00,-1.346303123508258565e-02,4.045467553225734036e+00,-4.522525770947455892e-01,2.096501487836775812e+00,-3.801977042685003472e+00
1.260513739327347116e+00,-2.722022798258902365e-02,4.093801980226652759e+00,-4.647205318316591782e-01,1.106545416047998609e+00,-3.463076944755543618e+00
1.290525971216093470e+00,-4.123983101836575793e-02,4.111782148807185955e+00,-4.698205729714570733e-01,8.705020437751016804e-02,-3.167481589136614595e+00
