time,cart_pos,pend_pos,cart_vel,pend_vel,force
3.814697265625000000e-06,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.269057426087421419e-04
1.000213623046875000e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.999760756032949116e-01
2.000188827514648438e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.205528345672008728e+00
3.000187873840332031e-02,4.539062499999999369e-05,3.141592653589793116e+00,4.539066828791454324e-03,0.000000000000000000e+00,1.698200778471153249e+00
4.000234603881835938e-02,1.361718749999999811e-04,3.140058672801907313e+00,9.077700798664916498e-03,-1.533909108249510711e-01,2.023621952962535442e+00
5.000162124633789062e-02,3.404296874999999663e-04,3.140058672801907313e+00,2.042726180257510571e-02,0.000000000000000000e+00,2.371040418458413956e+00
6.000137329101562500e-02,6.808593749999999325e-04,3.136990711226136153e+00,3.404381288445949144e-02,-3.068037649397568623e-01,2.667565863745467336e+00
7.000112533569335938e-02,1.202851562499999928e-03,3.135456730438250350e+00,5.220051308950455354e-02,-1.534018824699006356e-01,2.995109815025692068e+00
8.000087738037109375e-02,1.883710937499999752e-03,3.132388768862479189e+00,6.808762576891896900e-02,-3.068037649397568623e-01,3.293033135385283305e+00
9.000110626220703125e-02,2.791523437499999517e-03,3.127786826498822226e+00,9.077917222963949317e-02,-4.601837035966015454e-01,3.564740830392233217e+00
1.000013351440429688e-01,3.903593749999999512e-03,3.121650903347279904e+00,1.112044859813084152e-01,-6.135782714621058620e-01,3.837035942821200862e+00
1.100010871887207031e-01,5.265312499999999160e-03,3.115514980195737138e+00,1.361752515378379380e-01,-6.136075298795581334e-01,4.093660022563988754e+00
1.200013160705566406e-01,6.876679687499998896e-03,3.107845076256309014e+00,1.611330307076101198e-01,-7.669728393276544764e-01,4.324110131867477058e+00
1.300015449523925781e-01,8.760390624999999515e-03,3.100175172316880889e+00,1.883667823765020621e-01,-7.669728393276544764e-01,4.563143422186035636e+00
1.400012969970703125e-01,1.096183593749999914e-02,3.089437306801681160e+00,2.201499899861713294e-01,-1.073813177289215659e+00,4.725625499467050794e+00
1.500012874603271484e-01,1.348101562499999864e-02,3.078699441286481875e+00,2.519182089979257189e-01,-1.073787575563560637e+00,4.915289643220967619e+00
