time,cart_pos,pend_pos,cart_vel,pend_vel,force
4.291534423828125000e-06,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.552690860334390788e-04
1.000308990478515625e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000336567007924504e-01
2.000164985656738281e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.205513890296475266e+00
3.000140190124511719e-02,4.539062499999999369e-05,3.141592653589793116e+00,4.539175051261264658e-03,0.000000000000000000e+00,1.698184645115947466e+00
4.000449180603027344e-02,1.815624999999999748e-04,3.141592653589793116e+00,1.361298121841929450e-02,0.000000000000000000e+00,2.033981130646848268e+00
5.000209808349609375e-02,4.085156249999999161e-04,3.140058672801907313e+00,2.270074642882693311e-02,-1.534348068240424801e-01,2.359234624044075357e+00
6.000137329101562500e-02,7.716406249999998657e-04,3.136990711226136153e+00,3.631513209346685228e-02,-3.068183955437120414e-01,2.666761455430652905e+00
7.000112533569335938e-02,1.316328124999999790e-03,3.135456730438250350e+00,5.447010061513517937e-02,-1.534018824699006356e-01,2.994294023649584080e+00
8.000087738037109375e-02,2.019882812499999760e-03,3.132388768862479189e+00,7.035721329454960871e-02,-3.068037649397568623e-01,3.292205078408714680e+00
9.000110626220703125e-02,2.950390624999999455e-03,3.127786826498822226e+00,9.304865153538047218e-02,-4.601837035966015454e-01,3.563901028021535300e+00
1.000010967254638672e-01,4.107851562499999741e-03,3.121650903347279904e+00,1.157462041341821291e-01,-6.135929003220219613e-01,3.835505283619368377e+00
1.100010871887207031e-01,5.469570312499998956e-03,3.115514980195737138e+00,1.361720048637435621e-01,-6.135929003220663702e-01,4.093429595364183271e+00
1.200010776519775391e-01,7.103632812499999054e-03,3.107845076256309014e+00,1.634064058364923799e-01,-7.669911254025496561e-01,4.323226812219584936e+00
1.300010681152343750e-01,8.987343749999997938e-03,3.098641191528995087e+00,1.883712733948452733e-01,-9.203893504830773509e-01,4.548919987090549455e+00
1.400015354156494141e-01,1.118878906249999930e-02,3.089437306801681160e+00,2.201342443676244098e-01,-9.203454649496176643e-01,4.739160661967269483e+00
1.500012874603271484e-01,1.368527343749999757e-02,3.077165460498596072e+00,2.496546278193694235e-01,-1.227215059759071858e+00,4.900757128775200755e+00
1.600015163421630859e-01,1.652218749999999695e-02,3.064893614195510985e+00,2.836849132176234578e-01,-1.227156542924256133e+00,5.059694197428679097e+00
1.700010299682617188e-01,1.967683593749999793e-02,3.051087787104540094e+00,3.154801878829785466e-01,-1.380649860302986864e+00,5.173549439713530873e+00
1.800014972686767578e-01,2.317191406249999655e-02,3.035747979225683846e+00,3.494914807485992037e-01,-1.533909108249333242e+00,5.284665746780286000e+00
1.900014877319335938e-01,2.700742187499999628e-02,3.020408171346827597e+00,3.835511470328779038e-01,-1.533982250805099312e+00,5.351730579338522809e+00
2.000017166137695312e-01,3.113796874999999464e-02,3.003534382680085546e+00,4.130452336448596773e-01,-1.687340246520857567e+00,5.395961817106765146e+00
2.100014686584472656e-01,3.563164062499999535e-02,2.985126613225457692e+00,4.493783300748653842e-01,-1.840822589638630102e+00,5.412772651219541764e+00
2.200016975402832031e-01,4.042035156249999123e-02,2.966718843770829839e+00,4.788601335113480406e-01,-1.840734814386406182e+00,5.400941429455951237e+00
2.300019264221191406e-01,4.557218749999999291e-02,2.945243112740430824e+00,5.151718024032044818e-01,-2.147523950117459002e+00,5.349785135660653168e+00
2.400016784667968750e-01,5.104175781249999100e-02,2.925301362497917612e+00,5.469705936769823085e-01,-1.994224472108486301e+00,5.302932298120514254e+00
2.500021457672119141e-01,5.682906249999999243e-02,2.903825631467518598e+00,5.787034259148886584e-01,-2.147472751549093228e+00,5.198659333765884405e+00
2.600018978118896484e-01,6.291140624999999598e-02,2.883883881225005386e+00,6.082494568690098857e-01,-1.994224472108486301e+00,5.120636524442860882e+00
2.700018882751464844e-01,6.924339843749999224e-02,2.862408150194606371e+00,6.331998226164076149e-01,-2.147575151127165682e+00,4.952492178347625895e+00
2.800018787384033203e-01,7.582503906249998815e-02,2.840932419164207356e+00,6.581646901747605360e-01,-2.147575151127165682e+00,4.799481240325240705e+00
2.900018692016601562e-01,8.263363281249998249e-02,2.820990668921694144e+00,6.808600243187177270e-01,-1.994176926046637988e+00,4.633734212913527273e+00
3.000018596649169922e-01,8.964648437499998790e-02,2.801048918679180932e+00,7.012858250482802980e-01,-1.994176926046637988e+00,4.424314357284269583e+00
3.100020885467529297e-01,9.686359374999999050e-02,2.781107168436667276e+00,7.216944192256344870e-01,-1.994129382251955018e+00,4.211541841175586498e+00
3.200023174285888672e-01,1.042168749999999866e-01,2.764233379769925225e+00,7.353112950600797504e-01,-1.687340246520857567e+00,3.991045408100133418e+00
3.300018310546875000e-01,1.116836328124999889e-01,2.747359591103183174e+00,7.467120993776974469e-01,-1.687460940370302476e+00,3.731628283385115985e+00
3.400022983551025391e-01,1.192411718749999822e-01,2.730485802436441123e+00,7.557185914888537859e-01,-1.687300019074284174e+00,3.455013748895015890e+00
3.500027656555175781e-01,1.268894921874999804e-01,2.716679975345470677e+00,7.647962922875192193e-01,-1.380518197424382087e+00,3.188478855701611270e+00
3.600029945373535156e-01,1.346058984374999823e-01,2.704408129042385589e+00,7.716229639519360806e-01,-1.227156542924256133e+00,2.902402325701478603e+00
3.700025081634521484e-01,1.423449999999999716e-01,2.693670263527185860e+00,7.739477990510468253e-01,-1.073838780235671253e+00,2.586099350682086406e+00
3.800024986267089844e-01,1.501067968749999759e-01,2.684466378799871933e+00,7.761804277233392835e-01,-9.203893504830773509e-01,2.262185032580322996e+00
3.900024890899658203e-01,1.578458984374999652e-01,2.678330455648329611e+00,7.739108943089419990e-01,-6.135929003220219613e-01,1.948778695097646674e+00
4.000036716461181641e-01,1.655169140624999646e-01,2.673728513284672648e+00,7.670108591589586133e-01,-4.601398222479226030e-01,1.591182334996661396e+00
4.100027084350585938e-01,1.730971484374999869e-01,2.672194532496786845e+00,7.580964581892771781e-01,-1.534128556845077984e-01,1.248580963853900938e+00
4.200026988983154297e-01,1.805639062499999614e-01,2.673728513284672648e+00,7.466764933361917933e-01,1.533982250805276948e-01,8.853399131925488996e-01
4.300045967102050781e-01,1.878944921874999840e-01,2.678330455648329611e+00,7.329194994159875520e-01,4.601069167279887573e-01,5.093048397022481577e-01
4.400029182434082031e-01,1.949981249999999666e-01,2.684466378799871933e+00,7.104825333842027524e-01,6.136953218763488982e-01,1.189149621759496567e-01
4.500036239624023438e-01,2.019201953124999671e-01,2.695204244315071662e+00,6.921581843322367478e-01,1.073710777710968456e+00,-2.732734884169624179e-01
4.600026607513427734e-01,2.085699218749999806e-01,2.707476090618156750e+00,6.650367133217305327e-01,1.227302845475929161e+00,-6.924670650197370936e-01
4.700026512145996094e-01,2.149473046874999793e-01,2.724349879284898801e+00,6.377388894451992973e-01,1.687380475885627007e+00,-1.093960977335628026e+00
4.800031185150146484e-01,2.209615624999999584e-01,2.744291629527412013e+00,6.013976779115487448e-01,1.994081840724142074e+00,-1.520195097789068583e+00
4.900028705596923828e-01,2.266353906249999606e-01,2.767301341345696830e+00,5.673968814076584266e-01,2.301028237048287739e+00,-1.946743282946394649e+00
5.000028610229492188e-01,2.318780078124999811e-01,2.793379014739752364e+00,5.242622187254151189e-01,2.607769826368659949e+00,-2.379838875052133318e+00
5.100030899047851562e-01,2.366440234374999618e-01,2.824058630497465305e+00,4.765906542056055351e-01,3.067891357310662315e+00,-2.797401082643652614e+00
5.200033187866210938e-01,2.409561328124999735e-01,2.859340188618835210e+00,4.312010680907888971e-01,3.528075060907263971e+00,-3.209630259428748911e+00
