time,cart_pos,pend_pos,cart_vel,pend_vel,force
3.814697265625000000e-06,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.873646979563689919e-04
1.001501083374023438e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.601420468097670469e-01
2.003264427185058594e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.526321696904901382e+00
3.004264831542968750e-02,4.539062499999999369e-05,3.141592653589793116e+00,4.534526140288197386e-03,0.000000000000000000e+00,2.058026636220084082e+00
4.005551338195800781e-02,2.042578124999999581e-04,3.141592653589793116e+00,1.586630664095053933e-02,0.000000000000000000e+00,2.347604700062122962e+00
5.006909370422363281e-02,4.992968749999999577e-04,3.140058672801907313e+00,2.946389333333333457e-02,-1.531900417750612642e-01,2.630298283786506541e+00
6.008219718933105469e-02,9.758984374999998780e-04,3.136990711226136153e+00,4.759778656126481544e-02,-3.063946737726387926e-01,2.890195220435934242e+00
7.009983062744140625e-02,1.634062499999999665e-03,3.133922749650364992e+00,6.570055358545348612e-02,-3.062561227384935636e-01,3.156419743207272699e+00
8.011031150817871094e-02,2.451093749999999714e-03,3.129320807286708028e+00,8.161758258508586272e-02,-4.597124172638163420e-01,3.403130982495165657e+00
9.012389183044433594e-02,3.495078124999999487e-03,3.126252845710936867e+00,1.042568533333333158e-01,-3.063800835500781750e-01,3.643935068073643091e+00
1.001369953155517578e-01,4.766015624999998986e-03,3.118582941771508299e+00,1.269274308300394893e-01,-7.659866844316635115e-01,3.861348609647298424e+00
1.101503372192382812e-01,6.286601562499999005e-03,3.112447018619965977e+00,1.518559889521179096e-01,-6.127747569753224655e-01,4.063968423048846645e+00
1.201643943786621094e-01,8.056835937499999545e-03,3.103243133892652050e+00,1.767749421456121794e-01,-9.190964841510336214e-01,4.247088862235054663e+00
1.301777362823486328e-01,1.012210937499999873e-02,3.094039249165338124e+00,2.062521640991451244e-01,-9.191621354630279406e-01,4.419732371736837528e+00
1.401915550231933594e-01,1.245972656249999880e-02,3.083301383650138838e+00,2.334391352586843160e-01,-1.072304761359549108e+00,4.560893806304366471e+00
1.502048969268798828e-01,1.511507812499999874e-02,3.072563518134939109e+00,2.651813538417581162e-01,-1.072355824706880734e+00,4.707382642553095131e+00
1.602184772491455078e-01,1.808816406249999856e-02,3.058757691043968663e+00,2.969053866666666597e-01,-1.378710375975374047e+00,4.788564006128782857e+00
1.702318191528320312e-01,2.135628906249999875e-02,3.044951863952997773e+00,3.263770508821638994e-01,-1.378743203194541911e+00,4.881984020916340761e+00
1.802458763122558594e-01,2.491945312499999760e-02,3.029612056074141524e+00,3.558162297033473642e-01,-1.531827473585026356e+00,4.941478951140612530e+00
1.902592182159423828e-01,2.880035156249999631e-02,3.012738267407399029e+00,3.875727479225694605e-01,-1.685130581682247497e+00,4.966974361261480730e+00
2.002732753753662109e-01,3.302167968749999266e-02,2.995864478740656978e+00,4.215402466549208471e-01,-1.685010220943546688e+00,5.000128415109217350e+00
2.102866172790527344e-01,3.749265624999999214e-02,2.978990690073914926e+00,4.465019376651824246e-01,-1.685130581682203088e+00,4.980709730749052433e+00
2.203004360198974609e-01,4.225867187499999372e-02,2.960582920619287517e+00,4.759438680031429225e-01,-1.838236733759233354e+00,4.943250579938652578e+00
2.303137779235839844e-01,4.729703124999999619e-02,2.940641170376774305e+00,5.031646201100028470e-01,-1.991517960169864487e+00,4.880633967819139940e+00
2.403273582458496094e-01,5.260773437499999261e-02,2.922233400922146451e+00,5.303500799999996129e-01,-1.838280501300557646e+00,4.807825597122269201e+00
2.503411769866943359e-01,5.819078124999998991e-02,2.902291650679633239e+00,5.575342453751098715e-01,-1.991423128239188101e+00,4.705999364754402947e+00
2.603547573089599609e-01,6.404617187499998809e-02,2.883883881225005386e+00,5.847449599999998693e-01,-1.838280501300557646e+00,4.583727731870367528e+00
2.703680992126464844e-01,7.012851562499998470e-02,2.863942130982492174e+00,6.074239558084713053e-01,-1.991517960169864487e+00,4.424990183442106151e+00
2.803819179534912109e-01,7.639242187499999115e-02,2.845534361527864320e+00,6.255262265184168280e-01,-1.838236733759277763e+00,4.277178585286877777e+00
2.903954982757568359e-01,8.286058593749999479e-02,2.827126592073236466e+00,6.459392000000003797e-01,-1.838280501300557646e+00,4.082845587530109732e+00
3.004090785980224609e-01,8.944222656249999071e-02,2.808718822618609057e+00,6.572714666666662486e-01,-1.838280501300513459e+00,3.887315590819406363e+00
3.104226589202880859e-01,9.618273437499998135e-02,2.791845033951867006e+00,6.731366399999990646e-01,-1.685090459525496520e+00,3.668857801675111663e+00
3.204369544982910156e-01,1.030594140624999794e-01,2.776505226073010313e+00,6.866863109777870955e-01,-1.531791004107329046e+00,3.444207482279407095e+00
3.304505348205566406e-01,1.100041796874999811e-01,2.762699398982039867e+00,6.935347200000001600e-01,-1.378710375975374047e+00,3.206048400548976218e+00
3.404633998870849609e-01,1.170170312499999865e-01,2.750427552678954779e+00,7.003841074362460173e-01,-1.225607877620187081e+00,2.943452592199228057e+00
3.504779338836669922e-01,1.240525781249999793e-01,2.738155706375869691e+00,7.025336253690117605e-01,-1.225403629092824298e+00,2.661695227847030054e+00
3.604907989501953125e-01,1.310881249999999720e-01,2.728951821648555764e+00,7.026507226706661946e-01,-9.192059082151513572e-01,2.384697525518637118e+00
3.705055713653564453e-01,1.381236718749999925e-01,2.721281917709127640e+00,7.025169003690057146e-01,-7.658590351805532048e-01,2.084641314069159979e+00
3.805181980133056641e-01,1.451592187499999853e-01,2.716679975345470677e+00,7.026674540432414906e-01,-4.596138980773372684e-01,1.790523273512852676e+00
3.905317783355712891e-01,1.521493749999999756e-01,2.712078032981813713e+00,6.980676266666656637e-01,-4.595701253251394114e-01,1.440266073853389228e+00
4.005455970764160156e-01,1.590260546874999736e-01,2.712078032981813713e+00,6.867190095473915123e-01,0.000000000000000000e+00,1.141286157584609384e+00
4.105587005615234375e-01,1.657665624999999643e-01,2.713612013769699072e+00,6.731686956521729659e-01,1.531973368862972196e-01,7.840238725395649588e-01
4.205729961395263672e-01,1.723482031249999880e-01,2.718213956133356035e+00,6.572245220579505665e-01,4.595373012321942729e-01,4.375067141202341192e-01
4.305863380432128906e-01,1.787709765624999614e-01,2.725883860072784159e+00,6.414215652753610941e-01,7.659684462191752585e-01,8.167214455320584432e-02
4.405999183654785156e-01,1.849894921874999654e-01,2.736621725587983889e+00,6.210082133333337806e-01,1.072330292425340170e+00,-2.919116827376981860e-01
4.506134986877441406e-01,1.915711328124999613e-01,2.750427552678954779e+00,6.572714666666662486e-01,1.378710375975418234e+00,-6.843276851129245220e-01
4.606277942657470703e-01,1.972676562499999786e-01,2.767301341345696830e+00,5.688391552984327637e-01,1.684970104518030976e+00,-1.054641837427210405e+00
4.706408977508544922e-01,2.026918359374999812e-01,2.785709110800324240e+00,5.417081422924904244e-01,1.838368042635877053e+00,-1.462088659459551243e+00
4.806544780731201172e-01,2.077528906249999641e-01,2.808718822618609057e+00,5.054190933333315705e-01,2.297850626625697057e+00,-1.842764066439730897e+00
4.906680583953857422e-01,2.124508203124999828e-01,2.834796496012665035e+00,4.691558400000018780e-01,2.604230710175775343e+00,-2.243122329528986825e+00
5.006821155548095703e-01,2.167175390624999642e-01,2.863942130982492174e+00,4.260729374791658031e-01,2.910472199811576566e+00,-2.640659654965225478e+00
5.106952190399169922e-01,2.205303515624999766e-01,2.896155727528090473e+00,3.807822924901198003e-01,3.217144074612817928e+00,-3.030306627588511326e+00
5.207087993621826172e-01,2.238665624999999770e-01,2.931437285649460378e+00,3.331686400000000159e-01,3.523370960826054166e+00,-3.417020215386132875e+00
5.307223796844482422e-01,2.266807812499999630e-01,2.971320786134486802e+00,2.810402133333319563e-01,3.982941086151149168e+00,-3.781203836512343486e+00
5.407359600067138672e-01,2.289503124999999750e-01,3.014272248195284831e+00,2.266453333333345310e-01,4.289321169701271863e+00,-4.129794616209827574e+00
5.507609844207763672e-01,2.306524609374999701e-01,3.060291671831854021e+00,1.697899543378990628e-01,4.590455018943985444e+00,-4.476715871416283576e+00
5.607638359069824219e-01,2.317418359374999737e-01,3.109379057044194816e+00,1.089064454772974561e-01,4.907339200230290466e+00,-4.770657677349757542e+00
5.707776546478271484e-01,2.321957421874999705e-01,3.163068384620192131e+00,4.532798742887042542e-02,5.361523806797833913e+00,-5.042124474424717562e+00
5.807921886444091797e-01,2.320822656249999782e-01,3.218291692984075247e+00,-1.133118750595104272e-02,5.514316330917732323e+00,-5.305362331572029966e+00
5.908048152923583984e-01,2.314694921874999589e-01,3.275048982135843723e+00,-6.120006857796173733e-02,5.668571409620419388e+00,-5.505940059294665900e+00
