time,cart_pos,pend_pos,cart_vel,pend_vel,force
4.053115844726562500e-06,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.053250605262066678e-04
1.001620292663574219e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.602330366157469266e-01
2.002835273742675781e-02,2.269531249999999685e-05,3.141592653589793116e+00,2.266777158641710213e-03,0.000000000000000000e+00,1.525184170974572151e+00
3.004789352416992188e-02,6.808593749999999054e-05,3.141592653589793116e+00,4.530210113027959180e-03,0.000000000000000000e+00,2.058157517424962002e+00
4.005575180053710938e-02,2.042578124999999581e-04,3.141592653589793116e+00,1.360649514008004102e-02,0.000000000000000000e+00,2.348386895085315729e+00
5.006885528564453125e-02,4.312109374999999536e-04,3.140058672801907313e+00,2.266561264822134283e-02,-1.531973368863415730e-01,2.632671519815334094e+00
6.008243560791015625e-02,8.170312499999998323e-04,3.138524692014021955e+00,3.852970666666665628e-02,-1.531900417750169108e-01,2.899781193629748621e+00
7.009601593017578125e-02,1.361718749999999865e-03,3.135456730438250350e+00,5.439488000000000656e-02,-3.063800835501225284e-01,3.160983944542735014e+00
8.011031150817871094e-02,2.065273437499999618e-03,3.132388768862479189e+00,7.025503511653927169e-02,-3.063582008214480457e-01,3.413898149423107320e+00
9.012317657470703125e-02,3.041171874999999605e-03,3.126252845710936867e+00,9.746445508012477332e-02,-6.128039388100713358e-01,3.635618662036071758e+00
1.001365184783935547e-01,4.221328124999999820e-03,3.121650903347279904e+00,1.178583794852258587e-01,-4.595810677315139703e-01,3.876893274358325314e+00
1.101510524749755859e-01,5.832695312499999556e-03,3.113980999407851780e+00,1.609028625845157212e-01,-7.658772681830097184e-01,4.056540020216990783e+00
1.201641559600830078e-01,7.580234374999998866e-03,3.104777114680537853e+00,1.745252173913042770e-01,-9.191840213179607311e-01,4.248694285732656617e+00
1.301779747009277344e-01,9.418554687499998759e-03,3.097107210741109729e+00,1.835783490869264956e-01,-7.659319723996842466e-01,4.433982102042965501e+00
1.401913166046142578e-01,1.173347656249999760e-02,3.086369345225909999e+00,2.311837443748659404e-01,-1.072355824706880734e+00,4.563038773450719177e+00
