time,cart_pos,pend_pos,cart_vel,pend_vel,force
2.651214599609375000e-04,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.154111870727968746e-02
2.000975608825683594e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.768828080556289040e-01
4.001760482788085938e-02,-9.078124999999998739e-05,3.143126634377678918e+00,-4.537281902787211087e-03,7.666895166234789782e-02,-1.481526367687323820e+00
6.002545356750488281e-02,-5.446874999999999243e-04,3.144660615165564277e+00,-2.268640951393605457e-02,7.666895166232569336e-02,-1.818959691274634638e+00
8.003354072570800781e-02,-1.497890624999999873e-03,3.149262557529221240e+00,-4.764089227836033891e-02,2.300041141999029648e-01,-2.101411154117390101e+00
1.000421047210693359e-01,-3.063867187499999534e-03,3.155398480680764006e+00,-7.826531493529705064e-02,3.066648437621652401e-01,-2.360952403517909470e+00
1.200494766235351562e-01,-5.129140624999999586e-03,3.163068384620192131e+00,-1.032256234136110645e-01,3.833538945953637311e-01,-2.592700031229494773e+00
1.400575637817382812e-01,-7.784492187499998661e-03,3.175340230923277218e+00,-1.327139142040037745e-01,6.133443045330672083e-01,-2.733178134260395797e+00
1.600661277770996094e-01,-1.112070312499999908e-02,3.187612077226362306e+00,-1.667391492099807304e-01,6.133296875243082757e-01,-2.864421390853462590e+00
1.800739765167236328e-01,-1.513777343749999824e-02,3.202951885105218555e+00,-2.007747241983340591e-01,7.666895166233901326e-01,-2.929497914100514855e+00
2.000863552093505859e-01,-1.990378906249999635e-02,3.219825673771960606e+00,-2.381533798756223785e-01,8.431675677294057092e-01,-2.917662873907312271e+00
2.200906276702880859e-01,-2.532796874999999545e-02,3.239767424014474262e+00,-2.711510602593439900e-01,9.968745567455186141e-01,-2.843376620509656671e+00
2.400984764099121094e-01,-3.138761718749999430e-02,3.259709174256987474e+00,-3.028635670110463307e-01,9.966963716104116910e-01,-2.743701631526131113e+00
2.601065635681152344e-01,-3.799195312499999144e-02,3.279650924499500686e+00,-3.300833250714965139e-01,9.966844948662313408e-01,-2.557479221569460837e+00
2.801148891448974609e-01,-4.511828124999999606e-02,3.301126655529899701e+00,-3.561681409897405892e-01,1.073339742897805094e+00,-2.313910596096193650e+00
3.001229763031005859e-01,-5.265312499999999507e-02,3.319534424984527554e+00,-3.765899103908483814e-01,9.200164567996118592e-01,-2.060279521981375428e+00
3.201310634613037109e-01,-6.052839843749999171e-02,3.337942194439155408e+00,-3.936045147759769658e-01,9.200164567996118592e-01,-1.718085682752106269e+00
3.401391506195068359e-01,-6.856253906249999697e-02,3.353282002318011656e+00,-4.015446634890374455e-01,7.666803806663283760e-01,-1.361910042326166304e+00
