time,cart_pos,pend_pos,cart_vel,pend_vel,force
2.026557922363281250e-05,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.820812722407170032e-04
2.001547813415527344e-02,-1.545371431833060480e-07,3.141593302573830737e+00,-1.520212412485341741e-05,6.365416761698476959e-05,-8.771298288572791924e-01
4.001760482788085938e-02,-1.541135784807113240e-04,3.142239840552073282e+00,-1.513054427546135783e-02,6.335282149232987492e-02,-1.480857495526405554e+00
6.002545356750488281e-02,-7.015634917052433533e-04,3.144520628983044297e+00,-3.921241200608577282e-02,1.625701189660542223e-01,-1.812070924898767865e+00
8.004188537597656250e-02,-1.765238347165562927e-03,3.148897890795676169e+00,-6.669138821918606241e-02,2.724354669663315853e-01,-2.096963498480698629e+00
1.000449657440185547e-01,-3.401375397511456795e-03,3.155516585319198875e+00,-9.641548961128182382e-02,3.862161928577218517e-01,-2.352116320809158889e+00
1.200537681579589844e-01,-5.647157821291683838e-03,3.164403486168233748e+00,-1.276251508518701505e-01,4.988141334202235710e-01,-2.577836508051149611e+00
1.400582790374755859e-01,-8.525353961925590668e-03,3.175487117675976467e+00,-1.596374682689940538e-01,6.055113110143752753e-01,-2.733398106517064274e+00
1.600663661956787109e-01,-1.203860580369282146e-02,3.188575712725400635e+00,-1.911335548149439290e-01,6.990631074959576807e-01,-2.849454553527982714e+00
1.800773143768310547e-01,-1.616984715678074225e-02,3.203363235926606656e+00,-2.214510967526358565e-01,7.752554749923623589e-01,-2.925825250593154347e+00
2.000849246978759766e-01,-2.088942865908694629e-02,3.219465343665258938e+00,-2.499933410295867853e-01,8.304792874288303706e-01,-2.917921860234086395e+00
2.200913429260253906e-01,-2.614861081227706080e-02,3.236399401115068741e+00,-2.754600184653191453e-01,8.585838691641357601e-01,-2.867474400334630413e+00
2.400989532470703125e-01,-3.188130784055534517e-02,3.253601186053328487e+00,-2.974030078235403995e-01,8.575083813142010403e-01,-2.771912706513295355e+00
2.601072788238525391e-01,-3.801256904760710875e-02,3.270470913118773471e+00,-3.153838245244479088e-01,8.257606164256529047e-01,-2.595748289688709409e+00
2.801222801208496094e-01,-4.445300565142819987e-02,3.286360820858905907e+00,-3.284063299196300356e-01,7.600824174032841940e-01,-2.380498407160537955e+00
3.001260757446289062e-01,-5.110164188999118812e-02,3.300598799248801729e+00,-3.362942044702220690e-01,6.612335337288135495e-01,-2.127426531859924363e+00
3.201313018798828125e-01,-5.785446260145250819e-02,3.312535400562922394e+00,-3.389186386127412409e-01,5.307084842692872950e-01,-1.807415332223943238e+00
3.401482105255126953e-01,-6.459998300254145287e-02,3.321535772509730311e+00,-3.356690527540352464e-01,3.685017790527184145e-01,-1.457054046668062153e+00
3.601479530334472656e-01,-7.122153547312375099e-02,3.326998895584805993e+00,-3.266260106331180801e-01,1.779406835815776078e-01,-1.080608924384109049e+00
3.801624774932861328e-01,-7.760475845973298370e-02,3.328396985489566973e+00,-3.119382111133639501e-01,-3.699568664233923720e-02,-6.555774521876709393e-01
4.001657962799072266e-01,-8.363420517361300210e-02,3.325268130375781617e+00,-2.913549914876221170e-01,-2.736778865292352481e-01,-2.134188411371970295e-01
4.201726913452148438e-01,-8.919516670381993917e-02,3.317229458246613305e+00,-2.651917565410215061e-01,-5.268803989125667719e-01,2.469830603631170685e-01
4.401807785034179688e-01,-9.417877827814835623e-02,3.304002577412467723e+00,-2.337186522419884283e-01,-7.913850051744888425e-01,7.316161716703053486e-01
4.601891040802001953e-01,-9.848033010780143925e-02,3.285409650042945273e+00,-1.970835236939610657e-01,-1.062351283953672620e+00,1.219523755928036524e+00
4.802012443542480469e-01,-1.020016805125400772e-01,3.261385649469791925e+00,-1.557900080867822279e-01,-1.333371306113720234e+00,1.711387669840400028e+00
5.002055168151855469e-01,-1.046542793272066535e-01,3.231992136307330732e+00,-1.102946025382916945e-01,-1.598201929693157330e+00,2.189383884787114987e+00
5.202136039733886719e-01,-1.063615218422091918e-01,3.197427162313852378e+00,-6.133064097410675930e-02,-1.849474078876333305e+00,2.647525604281452782e+00
5.402214527130126953e-01,-1.070619367176058045e-01,3.158037049164271526e+00,-9.676541310215724945e-03,-2.079758609810009595e+00,3.085732334649840425e+00
5.602295398712158203e-01,-1.067089549132830967e-01,3.114311591382144861e+00,4.395628830173559792e-02,-2.282164792075184412e+00,3.455480012316927585e+00
5.802397727966308594e-01,-1.052780245261806386e-01,3.066907287472946830e+00,9.809236406086241367e-02,-2.447014902070541620e+00,3.776734036846470133e+00
